,Time Interval,Average Packet Size,Standard Deviation Packet Size,Median Packet Size,Average Packet Intervals,Standard Deviation Packet Intervals,Median Packet Intervals,Inbound Packets,Outbound Packets,Total Packets,Cluster,Persona
457,"(228.5, 229.0)",994.3294117647059,326.96367892922837,1160.0,0.005739329411764704,0.00699826081011465,0.001649,67,18,85,0,0
458,"(229.0, 229.5)",991.9058823529413,355.5322510161422,1180.0,0.005577976470588236,0.008821865883479892,0.001255,68,17,85,0,0
459,"(229.5, 230.0)",998.9666666666667,322.99032754154314,1152.0,0.005569733333333333,0.007040193099049924,0.0021905,71,19,90,0,0
460,"(230.0, 230.5)",1010.7356321839079,333.54336072394835,1163.0,0.005702425287356321,0.0077373337103251874,0.001449,70,17,87,0,0
461,"(230.5, 231.0)",1010.3333333333335,322.9176461600549,1170.0,0.0057230919540229895,0.007000233503800085,0.002897,68,19,87,0,0
462,"(231.0, 231.5)",974.1494252873564,339.16362685958774,1120.0,0.005563505747126436,0.006845082038466644,0.001718,69,18,87,0,0
463,"(231.5, 232.0)",891.7731958762888,427.2472085230304,1153.0,0.0048119587628865975,0.0073773616853033425,0.001024,74,23,97,0,0
464,"(232.0, 232.5)",976.4827586206897,362.25873645936906,1150.0,0.005648264367816092,0.007093093257823466,0.001983,70,17,87,0,0
465,"(232.5, 233.0)",923.6404494382024,399.349022762813,1142.0,0.0056546179775280895,0.008687519427716171,0.0011619999999999998,69,20,89,0,0
466,"(233.0, 233.5)",984.7865168539323,314.61514989493384,1137.0,0.0054592022471910105,0.007250728966768816,0.002111,69,20,89,0,0
467,"(233.5, 234.0)",990.8604651162793,335.8652798121748,1146.0,0.005847523255813953,0.007162773525793326,0.001418,68,18,86,0,0
468,"(234.0, 234.5)",999.73417721519,299.88753057843155,1107.0,0.005710227848101268,0.007235684529751581,0.001573,63,16,79,0,0
469,"(234.5, 235.0)",976.3,355.86449415788485,1143.0,0.005664211111111113,0.007696837019256595,0.001866,74,16,90,0,0
470,"(235.0, 235.5)",960.9890109890109,378.65444506408335,1159.0,0.005596626373626376,0.0066853634250890895,0.002289,72,19,91,0,0
471,"(235.5, 236.0)",949.2808988764044,395.7773705220709,1144.0,0.005507123595505619,0.008230857213752827,0.001137,72,17,89,0,0
